DateOfDataEntry,Square,Member,SubMember,ToolNumber,RawMaterial,OtherRaw MaterialID,CoreTypology,OverallCortexArea,CortexType,CoreArtifactClass,EvidenceBipolar,NumberCoreFaces,WhichIsPlatform,CoreBlankSphericity,IntendedProduct,CoreSubTypology,ConardUnifiedType,BipolarChronology,DegreeOfKnappingAlongCircumference,OverallScarCount,LengthLongestFlakeScar,MaxLength,MaxWidth,MaxThickness,Mass,OtherNotes,Photograph,FeatureName
25/07/2023,O14,CL,CL2,918,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,270-360,3,10.5,11.6,4.73,2.93,0.18,,No,N/A
25/07/2023,O14,CL,CL3,924,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,Three,None,NotSphericalFlat,Flake,Irregularcore,Bipolar,NoFH,180-270,3,7.32,15.88,7.68,5.76,1.21,,No,AF21
26/07/2023,O14,CL,CL3,927,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,270-360,3,8.02,8.02,6.37,5.97,0.35,,No,Mousel
26/07/2023,O14,CL,CL3,928,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Platform,NoFH,180-270,3,9.25,9.91,4.24,2.91,0.11,,No,BG
26/07/2023,O14,CL,CL3,929,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,4,7.91,7.91,4.2,3.97,0.17,,No,BG
26/07/2023,O14,CL,CL3,930,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,3,6.57,9.68,6.12,4.58,0.22,,No,BG
26/07/2023,O14,CL,CL3,934,CrystalQuartz,,Core>2flakescars,0%,,CompCore,Yes,Two,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,270-360,5,5.08,10.16,6.25,4.51,0.24,,No,Mousehole
26/07/2023,O14,CL,CL3,935,CrystalQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,Two,None,NotSphericalFlat,Flake,Irregularcore,Bipolar,NoFH,90-180,3,7.62,11.4,7.23,4.96,0.4,,No,Mousehole
24/07/2023,P13,CL,CL2,881,FineChert,,Core>2flakescars,11-40%,Cobble,CompCore,Yes,Three,None,SphericalOrCubic,Flake,Irregularcore,Bipolar,NoFH,180-270,3,10.83,12.71,7.53,6.01,0.62,,Yes,AF4
24/07/2023,P13,CL,CL2,887,FineChert,,Core>2flakescars,0%,,CompCore,Yes,Two,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,180-270,3,7.77,7.77,6.82,2.66,0.16,,Yes,AF4
