"DateOfDataEntry","Square","Member","SubMember","ToolNumber","RawMaterial","OtherRaw.MaterialID","CoreTypology","OverallCortexArea","CortexType","CoreArtifactClass","EvidenceBipolar","NumberCoreFaces","WhichIsPlatform","CoreBlankSphericity","IntendedProduct","CoreSubTypology","ConardUnifiedType","BipolarChronology","DegreeOfKnappingAlongCircumference","OverallScarCount","LengthLongestFlakeScar","MaxLength","MaxWidth","MaxThickness","Mass","OtherNotes","Photograph","FeatureName","surface_area_cores_2","SDI_2"
"21/07/2023","P13","CL","CL4",860,"Chalcedony","","Core>2flakescars","0%","","CompCore","Bipolar","Three","None","Flake","BladeBladelet","Bladeletcore","Bipolar","AfterFH","270-360",5,9.27,10.2,5.98,5.52,0.29,"","Yes","GG2",300.6192,0.0166323375220212
"25/07/2023","O14","CL","CL1",912,"CoarseChert","","Core>2flakescars","1-10%","Cobble","CompCore","Bipolar","MoreThanFour","One","SphericalOrCubic","BladeBladelet","Bladeletcore","Platform","AfterFH","270-360",4,20.85,21.45,12.34,9.22,3.03,"","Yes","N/A",1152.4736,0.00347079533969368
"26/07/2023","O14","CL","CL3",933,"CoarseChert","","Core>2flakescars","11-40%","Cobble","CompCore","Bipolar","Four","One","NotSphericalFlat","Flake","Irregularcore","Platform","AfterFH","180-270",4,12.25,31.5,22.92,15.18,11.34,"looks heat treated. possibly silcrete, but uncertain","Yes","N/A",3096.1512,0.00129192656999439
"21/07/2023","P13","CL","CL4",868,"CrystalQuartz","","Core>2flakescars","11-40%","Outcrop","CompCore","Bipolar","Four","None","SphericalOrCubic","Flake","Radialcore","Platform","AfterFH","270-360",6,8.07,18.41,16.73,8.5,3.28,"dome shaped core","Yes","base",1213.3786,0.0049448704633492
"24/07/2023","P13","CL","CL2",884,"CrystalQuartz","","Core>2flakescars","0%","","CompCore","Bipolar","Three","One","SphericalOrCubic","Flake","Radialcore","Platform","AfterFH","270-360",6,6.16,8.58,7.55,4.43,0.24,"","Yes","AF4",272.4698,0.0220207890929564
"21/07/2023","P13","CL","CL3",870,"VeinQuartz","","Core>2flakescars","1-10%","Cobble","CompCore","Bipolar","Two","None","Flake","Flake","Irregularcore","Parallel","AfterFH","90-180",3,9.11,18.69,10.07,3.97,0.73,"core-on-flake","No","MOT.ASH",604.771,0.00496055531763262
"24/07/2023","P13","CL","CL2",878,"Sandstone","","Core>2flakescars","11-40%","Cobble","CoreFrag","Bipolar","MoreThanFour","None","NotSphericalFlat","Flake","Irregularcore","Platform","AfterFH","180-270",3,22.27,49.87,48.76,22.41,73.78,"","Yes","AF4",9283.919,0.000323139398351063
"24/07/2023","P13","CL","CL3",897,"CrystalQuartz","","Core>2flakescars","0%","","CompCore","Bipolar","Two","None","NotSphericalFlat","BladeBladelet","FlatBladeletCore","Parallel","BeforeFH","270-360",3,9.32,9.32,6.11,2.99,0.15,"","No","N/A",206.1618,0.0145516773718507
"24/07/2023","P13","CL","CL2",880,"FineChert","","Core>2flakescars","0%","","CompCore","Bipolar","Two","None","NotSphericalFlat","Flake","CoreReducedPiece","Parallel","BeforeFH","180-270",6,8.76,11.76,11.37,3.59,0.56,"core-on-flake","Yes","AF4",433.4958,0.0138409645491375
"21/07/2023","P13","CL","CL4",866,"VeinQuartz","","Core>2flakescars","0%","","CompCore","Bipolar","Four","None","NotSphericalFlat","BladeBladelet","Bladeletcore","Bipolar","BeforeFH","270-360",5,8.83,15.2,6.99,6.02,0.91,"","Yes","N/A",479.6636,0.0104239721338038
"24/07/2023","P13+P14","CL","CL3",891,"VeinQuartz","","Core>2flakescars","0%","","CoreFrag","Bipolar","MoreThanFour","One","SphericalOrCubic","BladeBladelet","Bladeletcore","Platform","BeforeFH","270-360",4,17.04,17.41,12.3,14.37,4,"split on one end with bipolar, other removals occur along another platform surface","Yes","Mousehole",1282.1514,0.0031197563719854
"26/07/2023","O14","CL","CL3",932,"VeinQuartz","","Core>2flakescars","0%","","CompCore","Bipolar","Three","None","NotSphericalFlat","BladeBladelet","FlatBladeletCore","Parallel","BeforeFH","270-360",3,13.11,13.87,7.83,5.31,0.64,"","Yes","MUISGAT",447.6582,0.0067015414885732
"26/07/2023","O14","CL","CL3",941,"VeinQuartz","","Core>2flakescars","1-10%","Outcrop","CompCore","Bipolar","MoreThanFour","One","SphericalOrCubic","Flake","Irregularcore","Platform","BeforeFH","270-360",5,11.64,12.76,9.16,7.04,1.08,"","No","MA",542.3968,0.00921834347105293
"25/07/2023","O14","CL","CL2",920,"Quartzite","","Core>2flakescars","61-90%","Cobble","CompCore","Bipolar","MoreThanFour","One","SphericalOrCubic","Flake","Irregularcore","Platform","BeforeFH","0-90",4,46.33,110.48,81.02,75.59,1139.6,"battered cobble","Yes","MOU",46853.1492,8.53731300520563e-05
"24/07/2023","P13","CL","CL3",901,"CrystalQuartz","","Core>2flakescars","11-40%","Outcrop","CompCore","Freehand","Four","One","SphericalOrCubic","Flake","Irregularcore","Platform","indeterminate","90-180",2,9.73,25.54,13.74,15.27,6.32,"","Yes","N/A",1901.4504,0.00105182864617452
